card_id,pan,pan_masked,cardholder_name,expiry_date,cvv,track2,card_network,issuing_bin,created_at
CARD000049,4242424865281689,424242******1689,Yuki Martinez,01/29,235,4242424865281689=290120173322141,VISA,424242,2025-03-05
CARD000050,6011118059296222,601111******6222,Sakura Rossi,12/28,270,6011118059296222=281220165379473,DISCOVER,601111,2025-02-06
CARD000051,5555554735977468,555555******7468,Richard Rossi,03/30,924,5555554735977468=300320107581814,MASTERCARD,555555,2026-05-13
CARD000052,4111114782613753,411111******3753,Patricia Gonzalez,07/27,853,4111114782613753=270720161530515,VISA,411111,2024-05-18
CARD000053,4111112047277901,411111******7901,Thomas Miller,01/27,289,4111112047277901=270120186143410,VISA,411111,2025-12-05
CARD000054,378282971179807,378282*****9807,Elizabeth Martinez,12/28,6095,378282971179807=281220139621851,AMEX,378282,2025-02-14
CARD000055,6011118880670652,601111******0652,Mary Lopez,12/29,153,6011118880670652=291220119520585,DISCOVER,601111,2024-04-25
CARD000056,30569327722177,305693****2177,Richard Johnson,05/27,305,30569327722177=270520148687403,DINERS,305693,2025-10-18
CARD000057,2223000541566763,222300******6763,Emma Singh,03/29,758,2223000541566763=290320141616928,MASTERCARD,222300,2025-10-10
CARD000058,2223001154479625,222300******9625,Liam Johnson,06/30,596,2223001154479625=300620140165820,MASTERCARD,222300,2026-03-13
CARD000059,3530117021355693,353011******5693,Elizabeth Nakamura,10/27,755,3530117021355693=271020171928565,JCB,353011,2024-10-10
CARD000060,5105103102786816,510510******6816,Liam Miller,05/29,947,5105103102786816=290520131217271,MASTERCARD,510510,2024-04-29
CARD000061,30569355188440,305693****8440,Barbara Rossi,12/28,583,30569355188440=281220113237058,DINERS,305693,2024-12-28
CARD000062,2223007829114679,222300******4679,Mateus Williams,07/30,251,2223007829114679=300720177852892,MASTERCARD,222300,2024-06-11
CARD000063,4111116801824220,411111******4220,Joseph Lopez,12/29,841,4111116801824220=291220143842498,VISA,411111,2026-05-03
CARD000064,6011112992299591,601111******9591,Jennifer Johnson,01/27,943,6011112992299591=270120196907844,DISCOVER,601111,2025-03-30
CARD000065,5555556471027671,555555******7671,Amara Martin,04/30,255,5555556471027671=300420156258815,MASTERCARD,555555,2025-12-02
CARD000066,371449147321046,371449*****1046,Fatima Davis,10/30,2595,371449147321046=301020132787747,AMEX,371449,2026-07-14
CARD000067,4242426873395005,424242******5005,Hiroshi Andersson,08/29,748,4242426873395005=290820101624565,VISA,424242,2026-06-21
CARD000068,378282098358417,378282*****8417,Liam Dubois,09/30,8499,378282098358417=300920112165585,AMEX,378282,2024-06-24
CARD000069,4111113986800026,411111******0026,Sofia Anderson,08/29,298,4111113986800026=290820125952694,VISA,411111,2024-12-07
CARD000070,2223008887947059,222300******7059,Linda Wilson,11/29,940,2223008887947059=291120197499309,MASTERCARD,222300,2025-04-02
CARD000071,4111118962309132,411111******9132,Chidi Wilson,08/27,263,4111118962309132=270820168970283,VISA,411111,2025-01-09
CARD000072,2223007865278586,222300******8586,Thomas Martin,11/29,733,2223007865278586=291120148434437,MASTERCARD,222300,2025-09-16
CARD000073,371449584419865,371449*****9865,Elizabeth Martinez,06/30,0415,371449584419865=300620174733848,AMEX,371449,2024-08-24
CARD000074,5105102199330835,510510******0835,Michael Wilson,01/28,571,5105102199330835=280120120826773,MASTERCARD,510510,2024-06-23
CARD000075,5105105401938022,510510******8022,Robert Santos,03/30,672,5105105401938022=300320140049915,MASTERCARD,510510,2025-10-19
CARD000076,371449887287431,371449*****7431,David Kowalski,06/27,7420,371449887287431=270620154932966,AMEX,371449,2025-02-25
CARD000077,2223001612275300,222300******5300,Jessica Anderson,07/29,454,2223001612275300=290720199045301,MASTERCARD,222300,2025-04-17
CARD000078,5105102684145938,510510******5938,Noah Jones,03/28,795,5105102684145938=280320168783391,MASTERCARD,510510,2025-02-14
CARD000079,371449851910885,371449*****0885,Ethan Jones,10/28,2587,371449851910885=281020113971870,AMEX,371449,2025-04-29
CARD000080,4111118679087401,411111******7401,James Kowalski,05/30,391,4111118679087401=300520106518017,VISA,411111,2026-07-05
CARD000081,5105106226567665,510510******7665,Ethan Jones,11/27,512,5105106226567665=271120186823004,MASTERCARD,510510,2025-04-19
CARD000082,30569386863375,305693****3375,Sarah Miller,03/29,106,30569386863375=290320190331190,DINERS,305693,2025-05-06
CARD000083,3530110306738303,353011******8303,Charles Davis,09/28,959,3530110306738303=280920195342836,JCB,353011,2025-10-03
CARD000084,5105100892687055,510510******7055,Chidi Singh,09/30,662,5105100892687055=300920146287334,MASTERCARD,510510,2024-08-12
CARD000085,4111117086688264,411111******8264,Susan Hernandez,05/28,175,4111117086688264=280520118304699,VISA,411111,2026-06-27
CARD000086,4242423983735402,424242******5402,Linda Kowalski,04/28,739,4242423983735402=280420136385467,VISA,424242,2025-02-06
CARD000087,30569354458778,305693****8778,Noah Dubois,12/27,535,30569354458778=271220156093204,DINERS,305693,2025-01-17
CARD000088,3530119642353693,353011******3693,Ava Okafor,08/28,547,3530119642353693=280820177252287,JCB,353011,2026-01-30
CARD000089,6011110801006231,601111******6231,Elizabeth Smith,12/27,387,6011110801006231=271220150997700,DISCOVER,601111,2025-02-08
CARD000090,6011116008484089,601111******4089,Michael Kim,03/30,182,6011116008484089=300320133984546,DISCOVER,601111,2026-05-18
CARD000091,2223006793341011,222300******1011,Priya Moore,07/30,700,2223006793341011=300720121765918,MASTERCARD,222300,2026-06-24
CARD000092,5555553974014892,555555******4892,Chidi Smith,03/27,392,5555553974014892=270320161429396,MASTERCARD,555555,2024-09-12
CARD000093,6011115621850163,601111******0163,Amara Martin,02/28,996,6011115621850163=280220150477358,DISCOVER,601111,2025-07-18
CARD000094,378282296194317,378282*****4317,Elizabeth Gonzalez,05/27,2655,378282296194317=270520111047541,AMEX,378282,2026-03-24
CARD000095,4242422678886108,424242******6108,Ava Williams,06/27,995,4242422678886108=270620160466183,VISA,424242,2024-12-29
CARD000096,6011112622444724,601111******4724,Omar Rodriguez,03/27,647,6011112622444724=270320115437993,DISCOVER,601111,2025-04-25
CARD000097,4242422406596573,424242******6573,Hiroshi Jones,07/29,459,4242422406596573=290720137526547,VISA,424242,2024-12-25
CARD000098,5555555646519398,555555******9398,Ava Smith,11/28,737,5555555646519398=281120141672434,MASTERCARD,555555,2024-10-01
CARD000099,4111116617979689,411111******9689,Robert Rossi,09/30,589,4111116617979689=300920111352909,VISA,411111,2024-10-15
CARD000100,30569365610144,305693****0144,Sofia Moore,09/28,993,30569365610144=280920175679825,DINERS,305693,2026-07-12
CARD000101,371449146112545,371449*****2545,Susan Taylor,08/29,7571,371449146112545=290820177514010,AMEX,371449,2024-03-20
CARD000102,2223001238282581,222300******2581,Joseph Rossi,08/30,622,2223001238282581=300820166093796,MASTERCARD,222300,2025-07-04
CARD000103,4000003341918254,400000******8254,Olivia Brown,04/29,478,4000003341918254=290420159696915,VISA,400000,2025-08-11
CARD000104,371449924991250,371449*****1250,Karen Brown,04/27,2528,371449924991250=270420166929662,AMEX,371449,2025-03-26
CARD000105,30569382827424,305693****7424,Liam Martin,06/28,050,30569382827424=280620172368876,DINERS,305693,2024-09-04
CARD000106,371449677219032,371449*****9032,Sarah Davis,01/29,8427,371449677219032=290120197881914,AMEX,371449,2024-06-04
CARD000107,6011115807836135,601111******6135,Liam Rodriguez,01/29,517,6011115807836135=290120113395962,DISCOVER,601111,2024-11-14
CARD000108,4111113309584984,411111******4984,Charles Martinez,06/28,948,4111113309584984=280620112604223,VISA,411111,2026-03-10
CARD000109,2223003672946671,222300******6671,Jennifer Gonzalez,11/27,845,2223003672946671=271120177590175,MASTERCARD,222300,2024-03-19
CARD000110,4242428636374541,424242******4541,Mateus Jones,09/29,975,4242428636374541=290920100170127,VISA,424242,2025-04-26
CARD000111,4000006324241545,400000******1545,David Johnson,06/27,643,4000006324241545=270620161103712,VISA,400000,2024-12-07
CARD000112,5555558700516276,555555******6276,Priya Williams,04/27,115,5555558700516276=270420154262218,MASTERCARD,555555,2025-01-07
CARD000113,4000009275326976,400000******6976,Michael Jones,02/28,196,4000009275326976=280220156523413,VISA,400000,2025-01-17
CARD000114,3530119940438980,353011******8980,Arjun Martinez,12/28,037,3530119940438980=281220161379180,JCB,353011,2025-08-02
CARD000115,2223002696582710,222300******2710,John Smith,10/27,430,2223002696582710=271020106848666,MASTERCARD,222300,2026-05-14
CARD000116,30569388924142,305693****4142,Susan Rossi,09/27,285,30569388924142=270920169146303,DINERS,305693,2026-05-10
CARD000117,378282179904212,378282*****4212,William Singh,12/27,0275,378282179904212=271220188425241,AMEX,378282,2024-06-08
CARD000118,4000005648149178,400000******9178,Yuki Johnson,09/30,792,4000005648149178=300920152419138,VISA,400000,2026-08-04
CARD000119,4000000307562209,400000******2209,Chidi Davis,04/30,654,4000000307562209=300420119518023,VISA,400000,2024-05-05
CARD000120,6011110617445185,601111******5185,Yuki Miller,01/30,494,6011110617445185=300120193759738,DISCOVER,601111,2024-06-19
CARD000121,5555552060385059,555555******5059,Priya Muller,11/27,413,5555552060385059=271120183670241,MASTERCARD,555555,2026-06-23
CARD000122,5555558657191826,555555******1826,Camila Jackson,02/30,062,5555558657191826=300220134456557,MASTERCARD,555555,2025-11-01
CARD000123,5555551329121271,555555******1271,Fatima Brown,06/30,853,5555551329121271=300620174741124,MASTERCARD,555555,2024-04-12
CARD000124,3530110352135685,353011******5685,Karen Rodriguez,11/27,206,3530110352135685=271120178831712,JCB,353011,2026-04-04
CARD000125,4000000323651994,400000******1994,Mary Williams,02/29,372,4000000323651994=290220115107029,VISA,400000,2025-05-20
CARD000126,378282706625322,378282*****5322,Liam Andersson,05/29,2099,378282706625322=290520193476870,AMEX,378282,2026-05-09
CARD000127,5105106263838060,510510******8060,Ethan Rossi,08/29,759,5105106263838060=290820185642059,MASTERCARD,510510,2025-12-25
CARD000128,4000004078593211,400000******3211,Jessica Rodriguez,11/28,803,4000004078593211=281120196522395,VISA,400000,2024-05-03
CARD000129,2223009059929370,222300******9370,Emma Johnson,03/29,103,2223009059929370=290320193087059,MASTERCARD,222300,2026-01-12
CARD000130,4111115250029216,411111******9216,Yuki Singh,02/29,691,4111115250029216=290220154522675,VISA,411111,2026-02-09
CARD000131,6011119539264426,601111******4426,James Singh,12/28,969,6011119539264426=281220102959391,DISCOVER,601111,2025-03-16
CARD000132,4111115135521577,411111******1577,Susan Davis,05/27,154,4111115135521577=270520110067626,VISA,411111,2025-03-20
CARD000133,378282586179325,378282*****9325,Robert Martinez,02/30,0541,378282586179325=300220115262181,AMEX,378282,2025-08-25
CARD000134,3530119706296200,353011******6200,Susan Miller,06/27,688,3530119706296200=270620144431069,JCB,353011,2025-01-21
CARD000135,371449205061492,371449*****1492,Michael Smith,04/30,3241,371449205061492=300420171467741,AMEX,371449,2024-10-18
CARD000136,6011116256527043,601111******7043,Thomas Davis,08/30,490,6011116256527043=300820121158693,DISCOVER,601111,2025-01-17
CARD000137,4000006868793745,400000******3745,Robert Taylor,07/27,989,4000006868793745=270720192172233,VISA,400000,2026-03-30
CARD000138,4000006163294514,400000******4514,Ava Gonzalez,07/27,854,4000006163294514=270720187099861,VISA,400000,2025-06-08
CARD000139,4111112999119143,411111******9143,Thomas Gonzalez,07/29,799,4111112999119143=290720170246299,VISA,411111,2024-09-08
CARD000140,378282065307454,378282*****7454,Karen Martinez,06/27,4713,378282065307454=270620124754691,AMEX,378282,2026-01-26
CARD000141,371449367850823,371449*****0823,Lucas Gonzalez,05/27,2890,371449367850823=270520123303070,AMEX,371449,2025-08-02
CARD000142,5555554578610358,555555******0358,Liam Garcia,10/30,798,5555554578610358=301020155241406,MASTERCARD,555555,2026-06-17
CARD000143,4111119333346803,411111******6803,William Okafor,08/27,290,4111119333346803=270820134944665,VISA,411111,2025-04-23
CARD000144,5105103748969107,510510******9107,Hiroshi Martin,09/29,441,5105103748969107=290920171545444,MASTERCARD,510510,2026-01-26
CARD000145,4111118309652079,411111******2079,Fatima Gonzalez,05/29,609,4111118309652079=290520193538758,VISA,411111,2025-10-03
CARD000146,4111118241724820,411111******4820,Jennifer Davis,11/29,534,4111118241724820=291120165549471,VISA,411111,2025-04-12
CARD000147,4000009991738165,400000******8165,Patricia Muller,07/29,223,4000009991738165=290720156972521,VISA,400000,2025-03-25
CARD000148,2223002500743292,222300******3292,Jennifer Jones,08/28,966,2223002500743292=280820166760083,MASTERCARD,222300,2024-07-19
CARD000149,2223000583003352,222300******3352,Michael Gonzalez,03/29,894,2223000583003352=290320121044789,MASTERCARD,222300,2025-02-16
CARD000150,2223006257532600,222300******2600,William Miller,04/28,098,2223006257532600=280420121506489,MASTERCARD,222300,2026-06-18
CARD000151,3530110100167618,353011******7618,Elizabeth Miller,08/29,046,3530110100167618=290820118499261,JCB,353011,2025-03-01
CARD000152,3530111411739343,353011******9343,Fatima Martinez,06/28,208,3530111411739343=280620173753001,JCB,353011,2026-04-15
CARD000153,3530117218114374,353011******4374,Olivia Johnson,05/29,120,3530117218114374=290520145561100,JCB,353011,2026-03-18
CARD000154,30569325579413,305693****9413,Barbara Brown,06/29,667,30569325579413=290620146762120,DINERS,305693,2024-03-25
CARD000155,4111111697972969,411111******2969,Mary Muller,10/29,277,4111111697972969=291020116701450,VISA,411111,2024-08-15
CARD000156,30569389935881,305693****5881,Jessica Thomas,07/27,562,30569389935881=270720189002877,DINERS,305693,2026-02-18
CARD000157,4242427535408384,424242******8384,Jessica Williams,07/30,779,4242427535408384=300720171775170,VISA,424242,2026-04-23
CARD000158,378282608801997,378282*****1997,Ava Miller,09/29,7550,378282608801997=290920137589975,AMEX,378282,2024-08-03
CARD000159,371449113055487,371449*****5487,Michael Johnson,12/29,2726,371449113055487=291220114933163,AMEX,371449,2025-04-25
CARD000160,5555555160917796,555555******7796,James Taylor,08/28,086,5555555160917796=280820197829221,MASTERCARD,555555,2025-07-06
CARD000161,30569399586690,305693****6690,Arjun Hernandez,05/28,472,30569399586690=280520126984858,DINERS,305693,2024-10-28
CARD000162,5555553394522888,555555******2888,Linda Dubois,12/29,587,5555553394522888=291220199684608,MASTERCARD,555555,2026-04-19
CARD000163,4000006200342441,400000******2441,Charles Miller,01/28,805,4000006200342441=280120171983863,VISA,400000,2025-03-01
CARD000164,5105100666580049,510510******0049,Liam Santos,10/28,359,5105100666580049=281020189334721,MASTERCARD,510510,2026-01-27
CARD000165,4111118160648422,411111******8422,Thomas Smith,10/28,572,4111118160648422=281020102590947,VISA,411111,2024-05-20
CARD000166,3530118515832817,353011******2817,Ethan Moore,07/28,615,3530118515832817=280720133555439,JCB,353011,2025-02-09
CARD000167,371449801573999,371449*****3999,Chidi Gonzalez,01/28,1648,371449801573999=280120140858877,AMEX,371449,2026-06-23
CARD000168,5105103581128803,510510******8803,Susan Muller,04/27,613,5105103581128803=270420186120750,MASTERCARD,510510,2026-05-09
CARD000169,4242420248193468,424242******3468,Arjun Wilson,08/30,506,4242420248193468=300820118091901,VISA,424242,2025-08-05
CARD000170,6011111449147668,601111******7668,David Moore,08/27,326,6011111449147668=270820184245088,DISCOVER,601111,2026-03-15
CARD000171,4242420099688145,424242******8145,Wei Miller,12/28,682,4242420099688145=281220122394312,VISA,424242,2024-09-18
CARD000172,3530110878141415,353011******1415,Camila Thomas,12/28,552,3530110878141415=281220131491357,JCB,353011,2025-05-02
CARD000173,2223009492995566,222300******5566,Chidi Davis,01/28,364,2223009492995566=280120152577754,MASTERCARD,222300,2025-03-26
CARD000174,6011111291428349,601111******8349,John Andersson,12/27,080,6011111291428349=271220199693084,DISCOVER,601111,2025-01-27
CARD000175,6011117256394277,601111******4277,Yuki Taylor,07/27,039,6011117256394277=270720128272299,DISCOVER,601111,2024-09-30
CARD000176,4111117503731457,411111******1457,Susan Taylor,01/28,567,4111117503731457=280120170051844,VISA,411111,2024-12-22
CARD000177,6011119266591843,601111******1843,Sofia Gonzalez,04/30,557,6011119266591843=300420179082723,DISCOVER,601111,2026-05-20
CARD000178,6011114322259139,601111******9139,Linda Thomas,06/30,773,6011114322259139=300620192603029,DISCOVER,601111,2024-12-08
CARD000179,4111112809202428,411111******2428,Mateus Okafor,10/30,041,4111112809202428=301020137977236,VISA,411111,2024-11-29
CARD000180,4111119298425790,411111******5790,Priya Gonzalez,04/27,210,4111119298425790=270420138862912,VISA,411111,2025-04-06
CARD000181,3530119088117297,353011******7297,Omar Taylor,11/27,650,3530119088117297=271120186376599,JCB,353011,2026-04-28
CARD000182,378282247314980,378282*****4980,Richard Smith,05/30,0981,378282247314980=300520180635651,AMEX,378282,2026-03-01
CARD000183,378282944869591,378282*****9591,Arjun Dubois,11/29,3688,378282944869591=291120172588744,AMEX,378282,2024-12-23
CARD000184,2223006213721388,222300******1388,Ava Martin,06/30,026,2223006213721388=300620101279611,MASTERCARD,222300,2025-11-10
CARD000185,5555555190669847,555555******9847,Emma Anderson,03/27,038,5555555190669847=270320143098839,MASTERCARD,555555,2026-02-14
CARD000186,30569305302141,305693****2141,Arjun Gonzalez,06/30,938,30569305302141=300620101184895,DINERS,305693,2025-08-16
CARD000187,5105103937690423,510510******0423,Michael Moore,09/30,184,5105103937690423=300920151848947,MASTERCARD,510510,2025-07-16
CARD000188,3530117357790711,353011******0711,Priya Okafor,02/29,335,3530117357790711=290220165880434,JCB,353011,2026-05-03
CARD000189,378282518275530,378282*****5530,Richard Thomas,03/29,3334,378282518275530=290320133339521,AMEX,378282,2026-04-06
CARD000190,4242427908075950,424242******5950,Sarah Thomas,10/30,284,4242427908075950=301020163920867,VISA,424242,2025-01-30
CARD000191,4000008562718754,400000******8754,Susan Gonzalez,01/27,915,4000008562718754=270120159428434,VISA,400000,2025-04-11
CARD000192,3530115527636558,353011******6558,Liam Garcia,05/30,929,3530115527636558=300520131438663,JCB,353011,2026-03-10
CARD000193,4111117026728857,411111******8857,Thomas Moore,05/30,906,4111117026728857=300520112034717,VISA,411111,2024-07-05
CARD000194,2223004558845060,222300******5060,Hiroshi Miller,06/27,998,2223004558845060=270620124558771,MASTERCARD,222300,2025-07-12
CARD000195,3530114722569961,353011******9961,David Hernandez,02/27,355,3530114722569961=270220144964759,JCB,353011,2025-02-19
CARD000196,371449622023414,371449*****3414,Arjun Brown,03/28,1178,371449622023414=280320100681149,AMEX,371449,2026-02-28
CARD000197,4242426433472286,424242******2286,Robert Nakamura,01/28,557,4242426433472286=280120178487282,VISA,424242,2024-12-09
CARD000198,3530117968845789,353011******5789,Liam Martinez,02/28,564,3530117968845789=280220124008254,JCB,353011,2025-04-13
CARD000199,6011110774064936,601111******4936,Yuki Miller,09/27,686,6011110774064936=270920163266341,DISCOVER,601111,2025-05-31
CARD000200,30569338944844,305693****4844,John Garcia,04/30,241,30569338944844=300420179749735,DINERS,305693,2026-07-18
CARD000201,4111110802144274,411111******4274,Jennifer Jones,04/27,073,4111110802144274=270420156475705,VISA,411111,2026-05-16
CARD000202,4111110461872348,411111******2348,Linda Dubois,01/30,367,4111110461872348=300120130371837,VISA,411111,2025-07-04
CARD000203,30569345208811,305693****8811,Karen Miller,08/29,503,30569345208811=290820113650249,DINERS,305693,2026-04-06
CARD000204,378282300979257,378282*****9257,David Thomas,04/27,1950,378282300979257=270420105281273,AMEX,378282,2025-09-16
CARD000205,6011115730652401,601111******2401,Liam Moore,12/30,487,6011115730652401=301220139285574,DISCOVER,601111,2024-04-07
CARD000206,3530118218274481,353011******4481,James Dubois,08/29,862,3530118218274481=290820109593518,JCB,353011,2024-04-20
CARD000207,378282387829458,378282*****9458,Chidi Brown,11/30,1810,378282387829458=301120122031731,AMEX,378282,2026-07-05
CARD000208,3530116789940530,353011******0530,Susan Okafor,01/27,717,3530116789940530=270120105865094,JCB,353011,2025-02-11
CARD000209,4000001413811381,400000******1381,Richard Taylor,04/30,392,4000001413811381=300420188619576,VISA,400000,2026-04-22
CARD000210,4111112868528978,411111******8978,Ava Hernandez,06/29,566,4111112868528978=290620159398368,VISA,411111,2024-07-05
CARD000211,5105105776004905,510510******4905,James Martinez,05/28,335,5105105776004905=280520104888992,MASTERCARD,510510,2026-05-02
CARD000212,4000007522459335,400000******9335,Jennifer Jackson,05/29,693,4000007522459335=290520115727919,VISA,400000,2024-10-18
CARD000213,5105100961055663,510510******5663,Hiroshi Kim,04/27,060,5105100961055663=270420148058925,MASTERCARD,510510,2025-03-10
CARD000214,5555552067998136,555555******8136,Arjun Jones,05/30,251,5555552067998136=300520179086416,MASTERCARD,555555,2025-03-11
CARD000215,378282227837695,378282*****7695,Sakura Kowalski,09/28,8331,378282227837695=280920146591166,AMEX,378282,2025-07-28
CARD000216,2223003559042594,222300******2594,Elizabeth Anderson,10/30,033,2223003559042594=301020152110392,MASTERCARD,222300,2024-04-06
CARD000217,5105100514770537,510510******0537,Ethan Taylor,04/28,487,5105100514770537=280420192069804,MASTERCARD,510510,2026-02-13
CARD000218,4000004394070167,400000******0167,Yuki Muller,11/29,104,4000004394070167=291120163681579,VISA,400000,2025-02-08
CARD000219,4242422387800382,424242******0382,Emma Gonzalez,06/29,205,4242422387800382=290620155438404,VISA,424242,2025-07-06
CARD000220,4000008432562168,400000******2168,Jessica Jackson,07/28,264,4000008432562168=280720195782329,VISA,400000,2025-01-29
CARD000221,30569332482627,305693****2627,John Moore,06/28,812,30569332482627=280620152056647,DINERS,305693,2024-07-04
CARD000222,30569342312202,305693****2202,Mateus Martin,10/29,393,30569342312202=291020130517289,DINERS,305693,2025-04-13
CARD000223,30569352677221,305693****7221,Robert Wilson,04/28,046,30569352677221=280420133312797,DINERS,305693,2024-09-01
CARD000224,2223007366096560,222300******6560,Michael Anderson,09/27,703,2223007366096560=270920188608680,MASTERCARD,222300,2026-01-24
CARD000225,5105107644726495,510510******6495,Sofia Andersson,12/27,277,5105107644726495=271220118129826,MASTERCARD,510510,2025-06-09
